timestamp num_ops machine arquivo
1318864552181007 3995 charroco 2011_10_17
1318865152181007 1409 charroco 2011_10_17
1318865752181007 1400 charroco 2011_10_17
1318866352181007 3374 charroco 2011_10_17
1318866952181007 1409 charroco 2011_10_17
1318867552181007 1400 charroco 2011_10_17
1318868152181007 4911 charroco 2011_10_17
1318868752181007 1394 charroco 2011_10_17
1318869352181007 1273 charroco 2011_10_17
1318869952181007 2448 charroco 2011_10_17
1318870552181007 129 charroco 2011_10_17
1318871152181007 129 charroco 2011_10_17
1318871752181007 2690 charroco 2011_10_17
1318872352181007 2089 charroco 2011_10_17
1318872952181007 131 charroco 2011_10_17
1318873552181007 127 charroco 2011_10_17
1318874152181007 4971 charroco 2011_10_17
1318874752181007 206 charroco 2011_10_17
1318875352181007 128 charroco 2011_10_17
1318875952181007 2669 charroco 2011_10_17
1318876552181007 128 charroco 2011_10_17
1318877152181007 165 charroco 2011_10_17
1318877752181007 2078 charroco 2011_10_17
1318878352181007 128 charroco 2011_10_17
1318878952181007 128 charroco 2011_10_17
1318879552181007 3595 charroco 2011_10_17
1318880152181007 136 charroco 2011_10_17
1318880752181007 128 charroco 2011_10_17
1318881352181007 2533 charroco 2011_10_17
1318881952181007 128 charroco 2011_10_17
1318882552181007 128 charroco 2011_10_17
1318883152181007 2894 charroco 2011_10_17
1318883752181007 128 charroco 2011_10_17
1318884352181007 129 charroco 2011_10_17
1318884952181007 1898 charroco 2011_10_17
1318885552181007 130 charroco 2011_10_17
1318886152181007 128 charroco 2011_10_17
1318886752181007 2887 charroco 2011_10_17
1318887352181007 128 charroco 2011_10_17
1318887952181007 127 charroco 2011_10_17
1318888552181007 3394 charroco 2011_10_17
1318889152181007 95 charroco 2011_10_17
1318889752181007 97 charroco 2011_10_17
1318890352181007 1543 charroco 2011_10_17
1318890952181007 128 charroco 2011_10_17
1318891552181007 130 charroco 2011_10_17
1318892152181007 1559 charroco 2011_10_17
1318892752181007 129 charroco 2011_10_17
1318893352181007 128 charroco 2011_10_17
1318893952181007 2434 charroco 2011_10_17
1318894552181007 129 charroco 2011_10_17
1318895152181007 128 charroco 2011_10_17
1318895752181007 2505 charroco 2011_10_17
1318896352181007 762 charroco 2011_10_17
1318896952181007 128 charroco 2011_10_17
1318897552181007 129 charroco 2011_10_17
1318898152181007 3173 charroco 2011_10_17
1318898752181007 129 charroco 2011_10_17
1318899352181007 130 charroco 2011_10_17
1318899952181007 1992 charroco 2011_10_17
1318900552181007 128 charroco 2011_10_17
1318901152181007 130 charroco 2011_10_17
1318901752181007 3160 charroco 2011_10_17
1318902352181007 128 charroco 2011_10_17
1318902952181007 130 charroco 2011_10_17
1318903552181007 2868 charroco 2011_10_17
1318904152181007 128 charroco 2011_10_17
1318904752181007 129 charroco 2011_10_17
1318905352181007 1615 charroco 2011_10_17
1318905952181007 128 charroco 2011_10_17
1318906552181007 130 charroco 2011_10_17
1318872952181007 117 gupi 2011_10_17
1318873552181007 30 gupi 2011_10_17
1318874152181007 27 gupi 2011_10_17
1318874752181007 133 gupi 2011_10_17
1318875352181007 9 gupi 2011_10_17
1318887952181007 6899 gupi 2011_10_17
1318888552181007 13710 gupi 2011_10_17
1318891552181007 328 gupi 2011_10_17
